Test;Elementos;Operacion;Tiempo
unordered_map_string;10000;search_nouser;1077900
unordered_map_string;15000;insert;7955100
unordered_map_string;15000;search;3428800
unordered_map_string;15000;search_nouser;1749100
unordered_map_string;20000;insert;10313200
unordered_map_string;20000;search;4738000
unordered_map_string;20000;search_nouser;2323600
unordered_map_string;1000;insert;658100
unordered_map_string;1000;search;191700
unordered_map_string;1000;search_nouser;101000
unordered_map_string;5000;insert;2444800
unordered_map_string;5000;search;821400
unordered_map_string;5000;search_nouser;596600
unordered_map_string;10000;insert;4932600
unordered_map_string;10000;search;1937500
unordered_map_string;10000;search_nouser;1074600
unordered_map_string;15000;insert;7838100
unordered_map_string;15000;search;3525900
unordered_map_string;15000;search_nouser;1843700
unordered_map_string;20000;insert;10328300
unordered_map_string;20000;search;4881300
unordered_map_string;20000;search_nouser;2105500
unordered_map_string;1000;insert;608800
unordered_map_string;1000;search;150500
unordered_map_string;1000;search_nouser;100300
unordered_map_string;5000;insert;2424400
unordered_map_string;5000;search;797700
unordered_map_string;5000;search_nouser;597900
unordered_map_string;10000;insert;4983200
unordered_map_string;10000;search;2104300
unordered_map_string;10000;search_nouser;1073000
unordered_map_string;15000;insert;8457400
unordered_map_string;15000;search;3366100
unordered_map_string;15000;search_nouser;1630400
unordered_map_string;20000;insert;10546600
unordered_map_string;20000;search;4706100
unordered_map_string;20000;search_nouser;2292800
unordered_map_string;1000;insert;679600
unordered_map_string;1000;search;183400
unordered_map_string;1000;search_nouser;100100
unordered_map_string;5000;insert;2495200
unordered_map_string;5000;search;841400
unordered_map_string;5000;search_nouser;594900
unordered_map_string;10000;insert;4719100
unordered_map_string;10000;search;2305500
unordered_map_string;10000;search_nouser;1071900
unordered_map_string;15000;insert;7235200
unordered_map_string;15000;search;3387800
unordered_map_string;15000;search_nouser;1637200
unordered_map_string;20000;insert;10321500
unordered_map_string;20000;search;4620400
unordered_map_string;20000;search_nouser;2043700
unordered_map_string;1000;insert;617400
unordered_map_string;1000;search;163100
unordered_map_string;1000;search_nouser;100800
unordered_map_string;5000;insert;2396700
unordered_map_string;5000;search;830600
unordered_map_string;5000;search_nouser;586400
unordered_map_string;10000;insert;4695000
unordered_map_string;10000;search;2137000
unordered_map_string;10000;search_nouser;1074800
unordered_map_string;15000;insert;7797300
unordered_map_string;15000;search;3429500
unordered_map_string;15000;search_nouser;1570600
unordered_map_string;20000;insert;9840000
unordered_map_string;20000;search;4861900
unordered_map_string;20000;search_nouser;2288400
unordered_map_string;1000;insert;677000
unordered_map_string;1000;search;191500
unordered_map_string;1000;search_nouser;150900
unordered_map_string;5000;insert;2363600
unordered_map_string;5000;search;919000
unordered_map_string;5000;search_nouser;594000
unordered_map_string;10000;insert;4580600
unordered_map_string;10000;search;1739400
unordered_map_string;10000;search_nouser;1107300
unordered_map_string;15000;insert;7111500
unordered_map_string;15000;search;3396800
unordered_map_string;15000;search_nouser;1931900
unordered_map_string;20000;insert;11472400
unordered_map_string;20000;search;4818800
unordered_map_string;20000;search_nouser;2187700
unordered_map_string;1000;insert;732200
unordered_map_string;1000;search;196300
unordered_map_string;1000;search_nouser;137000
unordered_map_string;5000;insert;2341100
unordered_map_string;5000;search;943500
unordered_map_string;5000;search_nouser;615600
unordered_map_string;10000;insert;4905800
unordered_map_string;10000;search;2281300
unordered_map_string;10000;search_nouser;1130900
unordered_map_string;15000;insert;7666300
unordered_map_string;15000;search;3380700
unordered_map_string;15000;search_nouser;1752400
unordered_map_string;20000;insert;10477500
unordered_map_string;20000;search;4970000
unordered_map_string;20000;search_nouser;2283300
unordered_map_string;1000;insert;664700
unordered_map_string;1000;search;198400
unordered_map_string;1000;search_nouser;157000
unordered_map_string;5000;insert;2393900
unordered_map_string;5000;search;893100
unordered_map_string;5000;search_nouser;591700
unordered_map_string;10000;insert;4871400
unordered_map_string;10000;search;1993800
unordered_map_string;10000;search_nouser;1075600
unordered_map_string;15000;insert;7246000
unordered_map_string;15000;search;3572400
unordered_map_string;15000;search_nouser;1790800
unordered_map_string;20000;insert;10339600
unordered_map_string;20000;search;4753900
unordered_map_string;20000;search_nouser;2303400
unordered_map_string;1000;insert;654800
